0,CombatZoneSpeed,540,,,,,,
0,CombatZoneResize,-10,264,410,369,,,
1,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,HeartMaxFallSpeed,750,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0.3,BoneStab,1,48,0.4,1,,,
0,BoneStab,3,48,0.4,1,,,
0.4,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,BoneStab,3,120,0,1,,,
0.3,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,HeartTeleport,262,240,,,,,
0,SansSlam,3,,,,,,
0.03333,BoneStab,2,48,0.6,1,,,
0,BoneStab,3,48,0.6,1,,,
0.3,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,0,,,,,,
0,SansX,320,,,,,,
0.2,SineBones,16,-20,350,55,,,
1,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,HeartTeleport,262,240,,,,,
0,SansSlam,3,,,,,,
0.3,BoneStab,2,20,0,1,,,
0,BoneStab,3,20,0,1,,,
0.5,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.13333,BlackScreen,0,,,,,,
0,HeartMode,0,,,,,,
0,SAnsSweat,1,,,,,,
0,Sanshead,tired1,,,,,,
0,StopMusic,,,,,,,
0,Sanstext,fine,,,,,,
0,Sanstext,maybe you are right,,,,,,
0,Sanstext,who said monsters must fight to the death with humans?,,,,,,
0,Sanstext,maybe can truly restore peace,,,,,,
0,Sanstext,that make monsters future is bright,,,,,,
0,Sanstext,im always think things too pessimistic,,,,,,
0,SansHead,closedeyes,,,,,,
0.7,SAnsSweat,0,,,,,,
0.3,Sanstext,then......,,,,,,
0,SansHead,Wink,,,,,,
0,Sanstext,hope you can persuade undyne them,,,,,,
0,Sanstext,papyrus just follow the undyne to do things,,,,,,
0,Sanstext,so that isnt hard to persuade him,,,,,,
0,SansHead,closedeyes,,,,,,
0,Sanstext,as for alphys......,,,,,,
1,SansHead,Default,,,,,,
0,Sanstext,i think if dont have undyne,,,,,,
0,Sanstext,shell be change sides in a war quickly,,,,,,
0,Sanstext,undyne is your big trouble,,,,,,
0,Sanstext,although she is casual,,,,,,
0,Sanstext,deep in her heart,,,,,,
0,Sanstext,actually is a kid who keep justice,,,,,,
0,SansHead,closedeyes,,,,,,
0,Sanstext,the kid is full of determination to change monsters future,,,,,,
0,Sanstext,try to let she succumb to humans is not a piece of cake,,,,,,
1,Sanstext,...,,,,,,
0,SansHead,tired1,,,,,,
0,Sanstext,what?,,,,,,
0,Sanstext,you ask me?,,,,,,
0,SansHead,Wink,,,,,,
0,Sanstext,heh,,,,,,
0,Sanstext,i havent changed sides in a war yet?,,,,,,
0.5,SansHead,Default,,,,,,
0,Sanstext,this is the end of the chat,,,,,,
0,Sanstext,hope you can escape from monsters who advocate fighting,,,,,,
0,Logo,,,,,,,
